user_id,status_id,created_at,screen_name,text,source,name,location,description,followers_count,favourites_count,account_created_at
x331383958,x1425722720457695232,8/12/2021 7:35,SinarOnline,"Bekalan dadah yang dirampas berkenaan boleh digunakan untuk seramai 173,450 penagih. - Ayob Khan
#sinarharian 

https://t.co/ggakFiIZk8",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425721547344384007,8/12/2021 7:31,SinarOnline,"Bagaimanapun bagi menghargai perkhidmatan bekas-bekas pekerja Pos Rider, Pos Malaysia akan memberi keutamaan kepada ejen-ejen ini untuk khidmat sambilan sekiranya ada peningkatan terhadap permintaan penghantaran bungkusan. #sinarharian

https://t.co/bu6sxrTRWz",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425718297413099524,8/12/2021 7:18,SinarOnline,"Dalam serbuan itu polis merampas 74 buah telefon bimbit dan tiga buah komputer riba yang dipercayai hasil kejadian samun.
#sinarharian

https://t.co/cxnMZYei1X",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425717112710909952,8/12/2021 7:13,SinarOnline,"PPV di Rumah Prihatin@Grand Seasons yang sesak dengan warga asing pada Rabu dilihat kembali tenang dan terkawal. #sinarharian

https://t.co/DH4XyE8YpW",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425714874613583875,8/12/2021 7:04,SinarOnline,"Sebutan kes Neelofa ditangguh lagi?

Noor Neelofa dan suami, Muhammad Haris berdepan dakwaan pelanggaran SOP PKPB pada 20 Mei lepas.

Untuk video penuh sila layari: https://t.co/aPYy0GfOfo

#SinarHarian
#BuletinTikTok https://t.co/ggDlGBEsup",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425714564759310338,8/12/2021 7:03,SinarOnline,[LIVE] Sidang Media Pemuda UMNO https://t.co/Yi2YNrqc9B,Periscope,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425714322320199680,8/12/2021 7:02,SinarOnline,Perkukuh Pelaburan Rakyat (PERKUKUH) akan melengkapkan agenda nasional jangka masa sederhana dan panjang kerajaan termasuk Dasar Revolusi Perindustrian Keempat Negara dan MyDIGITAL -Tengku Zafrul @tzafrul_aziz,Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425713805552611333,8/12/2021 7:00,SinarOnline,"Fasiliti saringan secara harian disediakan dan semua diwajibkan menjalani saringan menggunakan Salixium Covid-19 Rapid AntigenTest Kit pada setiap pagi hari persidangan. #sinarharian

https://t.co/OeYRvaBHVh",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425712192045731846,8/12/2021 6:54,SinarOnline,"Sepanjang tempoh berkenaan empat kematian direkodkan membabitkan dua anggota dan dua lagi ahli keluarga. - Ketua Polis Johor #sinarharian #Covid19

https://t.co/FVL9he3xnL",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425708915602329606,8/12/2021 6:41,SinarOnline,"Sabah masih mengguna SOP terdahulu berikutan kerajaan negeri belum mengeluarkan SOP baharu.
#sinarharian #COVID19 

https://t.co/wstLXuCCo1",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425708672907288577,8/12/2021 6:40,SinarOnline,"Usahawan wanita diharap dapat memanfaatkan penggunaan digitalisasi dan teknologi sebagai pemangkin perniagaan bagi meningkatkan produktiviti, kecekapan dan kemahiran serta mengukuhkan aliran tunai perniagaan. #sinarharian 

https://t.co/puCoFGC6nR",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425708377506598923,8/12/2021 6:39,SinarOnline,Aplikasi Pemetaan Capaian Internet akan dilancarkan bagi bantu pengguna pilih telco yang beri perkhidmatan terbaik - Saifuddin,Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425708375195615235,8/12/2021 6:38,SinarOnline,CyberSecurity Malaysia (CSM) telah wujudkan 35 jenis perkhidmatan berkaitan keselamatan siber menerusi SiberKASA - Saifuddin,Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425708372561592323,8/12/2021 6:38,SinarOnline,"Program Pemerkasaan Keselamatan Siber (SiberKASA) berada pada landasan tepat untuk melestarikan bidang keselamatan siber Malaysia - Saifuddin @saifuddinabd 

Sumber - Bernama",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425707277206523906,8/12/2021 6:34,SinarOnline,"Keabsahan Muhyiddin sebagai PM dan PN sebagai badan pentadbiran kerajaan tidak boleh dipersoalkan sehingga ahli Parlimen memuktamadkan undi mereka.
#sinarharian

https://t.co/JWenyLxm2z",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425706560689377292,8/12/2021 6:31,SinarOnline,"Penerima vaksin lengkap merujuk kepada penganut yang telah menerima dua dos suntikan vaksin Covid-19 jenis Pfizer, AstraZeneca dan Sinovac dan penganut berkenaan mesti melepasi 14 hari dari tarikh suntikan dos kedua. #sinarharian #Covid19

https://t.co/YpHzQi7VRk",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425706066281521161,8/12/2021 6:29,SinarOnline,"IWK diberi tanggungjawab menguruskan aset utama sistem pembetungan melibatkan lebih 7,000 loji rawatan kumbahan dan menyelenggara paip pembetungan sepanjang 22,000 kilometer. #sinarharian 

https://t.co/IXQ8c9MEv0",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425704722682421249,8/12/2021 6:24,SinarOnline,"Roslee Ali, 63, menerima anugerah tersebut sempena sambutan Ma'al Hijrah Peringkat Wilayah Persekutuan 1443H/2021M.
#sinarharian 

https://t.co/Y0OOACIeM7",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425704293743554560,8/12/2021 6:22,SinarOnline,"Semua rakyat dilihat mengikut SOP yang ditetapkan dalam Fasa 2 PPN. - Timbalan Ketua Polis Pulau Pinang
#sinarharian 

https://t.co/4LCOsAdK3a",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425703647883657216,8/12/2021 6:20,SinarOnline,"""Sebagai seorang pemimpin, kita perlu ada pendirian dan dinyatakan dengan jelas."", - MB Johor #sinarharian

https://t.co/2222lb43bQ",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425702450053324803,8/12/2021 6:15,SinarOnline,"Sikap tidak kasih kepada negara, memporak-perandakan negara, memusnahkan perpaduan kaum, dan mementingkan diri boleh menghancurkan kedaulatan bangsa dan negara. #sinarharian

https://t.co/7sa1x4TxPF",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425699989833994240,8/12/2021 6:05,SinarOnline,"Lima lagi penduduk Palestin cedera dalam pertempuran yang sama itu.
#sinarharian #PalestinianLivesMatter 

https://t.co/M2NMLsvsUW",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425698566475943943,8/12/2021 6:00,SinarOnline,"CABARAN LEGASI PERNIAGAAN KELUARGA

Hal ini kerana syarikat itu mempunyai jiwa, kerana jantung keluarga ada di dalamnya.

Saksikan diskusi lanjut dalam Wacana Siri 280 jam 8.30 MALAM INI di semua platform media sosial kami:

#WacanaSinar
#PerkasakanSuaraMalaysia https://t.co/dGWpg6PBXB",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425690972759887872,8/12/2021 5:29,SinarOnline,"Kehadiran orang ramai secara 'walk in' di PPV itu untuk mendapatkan vaksin sedangkan ia terhad hanya kepada penduduk Taman Harmoni.
#sinarharian 

https://t.co/yTblaEW9hX",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425690281299431429,8/12/2021 5:27,SinarOnline,"China terus kekal sebagai destinasi utama eksport getah asli apabila menyumbang 53.9 peratus daripada jumlah keseluruhan eksport pada Jun 2021.
#sinarharian #ekonomi 

https://t.co/uIW5MHL4yG",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425689408905248776,8/12/2021 5:23,SinarOnline,"Tindakan pertama ialah mempercepatkan proses vaksinasi dengan jangkaan imuniti kelompok dicapai pada akhir Oktober selain melaksanakan SOP dengan lebih ketat. - Penganalisis politik #sinarharian 

https://t.co/wv14nJ5PC4",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
x331383958,x1425688900861792258,8/12/2021 5:21,SinarOnline,"Kelantan FC berada di kedudukan ketujuh dalam saingan Liga Premier dengan 21 mata daripada 16 perlawanan, manakala KUFC di tangga kelapan dengan 20 mata daripada 16 perlawanan. #sinarharian

https://t.co/sHxvlWvJKh",Twitter Web App,SinarOnline,Malaysia,SINAR HARIAN versi Twitter memaparkan berita-berita dan rencana terpilih yang menarik dan berkualiti. DAPATKAN NASKHAH CETAK DI PASARAN. Sokongan anda dihargai.,756530,766,7/8/2011 2:51
